date,brand,live,arrivals,departures,turnover_pct,turnover_pct_per_day,window_hours,median_days_to_sell,median_departure_price
2026-09-04,The Row,150,7,13,8.33,,,76,4495
2026-09-04,Cartier,390,18,25,6.3,,,45,3130
2026-09-05,Hermès,1391,46,53,3.79,,,31,12295
2026-09-05,Chanel,4353,90,163,3.68,,,57,3670
2026-09-05,Louis Vuitton,5864,167,168,2.86,,,37,1493
2026-09-05,Goyard,320,6,16,4.85,,,36,2373
2026-09-05,Dior,860,26,25,2.91,,,50,2750
2026-09-05,Fendi,527,11,21,3.91,,,57,1220
2026-09-05,The Row,148,8,10,6.67,,,66,2808
2026-09-05,Cartier,378,7,19,4.87,,,32,2250
2026-09-06,Hermès,1365,18,44,3.16,,,60,8470
2026-09-06,Chanel,4311,67,109,2.5,,,58,3995
2026-09-06,Louis Vuitton,5763,35,136,2.32,,,30,1423
2026-09-06,Goyard,318,3,5,1.56,,,45,2595
2026-09-06,Dior,840,4,24,2.79,,,42,1878
2026-09-06,Fendi,514,4,17,3.23,,,16,1095
2026-09-06,The Row,140,1,9,6.08,,,124,1795
2026-09-06,Cartier,366,6,18,4.76,,,52,2063
2026-09-07,Hermès,1338,16,43,3.15,,,47,4795
2026-09-07,Chanel,4269,41,83,1.93,,,62,3495
2026-09-07,Louis Vuitton,5632,14,145,2.52,,,41,1595
2026-09-07,Goyard,314,1,5,1.57,,,26,2250
2026-09-07,Dior,826,7,21,2.5,,,86,2295
2026-09-07,Fendi,505,5,14,2.72,,,50,1645
2026-09-07,The Row,137,2,5,3.57,,,10,1395
2026-09-07,Cartier,357,0,9,2.46,,,32,1995
2026-09-08,Hermès,1293,11,56,4.19,,,59,9123
2026-09-08,Chanel,4115,42,196,4.59,,,54,3753
2026-09-08,Louis Vuitton,5394,50,288,5.11,,,55,1530
2026-09-08,Goyard,301,5,18,5.73,,,18,2745
2026-09-08,Dior,781,6,51,6.17,,,80,2205
2026-09-08,Fendi,481,9,33,6.53,,,34,1395
2026-09-08,The Row,133,2,6,4.38,,,59,2063
2026-09-08,Cartier,350,6,13,3.64,,,27,3995
2026-09-09,Hermès,1283,35,45,3.48,,,56,7695
2026-09-09,Chanel,4134,137,118,2.87,,,51,4595
2026-09-09,The Row,132,7,8,6.02,,,45,1843
2026-09-09,Louis Vuitton,5525,277,146,2.71,,,35,1650
2026-09-09,Goyard,303,13,11,3.65,,,88,2550
2026-09-09,Dior,794,39,26,3.33,,,24,2653
2026-09-09,Cartier,422,83,11,3.14,,,20,1395
2026-09-09,Prada,541,541,0,,,,,
2026-09-09,Bottega Veneta,587,587,0,,,,,
2026-09-09,Celine,528,528,0,,,,,
2026-09-10,Hermès,1301,65,47,3.66,,,51,10810
2026-09-10,Chanel,4227,177,84,2.03,,,70,4845
2026-09-10,The Row,137,9,4,3.03,,,38,3920
2026-09-10,Louis Vuitton,5810,417,132,2.39,,,47,1475
2026-09-10,Goyard,303,12,12,3.96,,,68,2678
2026-09-10,Dior,829,50,15,1.89,,,47,1995
2026-09-10,Cartier,441,28,9,2.13,,,30,2250
2026-09-10,Prada,562,43,22,4.07,,,89,1333
2026-09-10,Bottega Veneta,597,40,30,5.11,,,66,1635
2026-09-10,Celine,542,28,14,2.65,,,88,1478
2026-09-11,Hermès,1312,67,56,4.3,,,40,5995
2026-09-11,Chanel,4151,109,185,4.38,,,66,3675
2026-09-11,The Row,145,16,8,5.84,,,31,3295
2026-09-11,Louis Vuitton,5848,282,244,4.2,,,47,1500
2026-09-11,Goyard,303,15,15,4.95,,,65,2545
2026-09-11,Dior,812,33,50,6.03,,,105,2498
2026-09-11,Cartier,423,3,21,4.76,,,45,1995
2026-09-11,Prada,559,18,21,3.74,,,56,995
2026-09-11,Bottega Veneta,577,20,40,6.7,,,36,1795
2026-09-11,Celine,531,12,23,4.24,,,44,1150
2026-09-12,Hermès,1309,36,39,2.97,,,37,14500
2026-09-12,Chanel,4162,100,89,2.14,,,46,4295
2026-09-12,The Row,145,3,3,2.07,,,2,1550
2026-09-12,Louis Vuitton,5842,128,134,2.29,,,25,1650
2026-09-12,Goyard,304,8,7,2.31,,,17,2550
2026-09-12,Dior,806,15,21,2.59,,,42,1995
2026-09-12,Cartier,412,4,15,3.55,,,44,3795
2026-09-12,Prada,564,20,15,2.68,,,45,1470
2026-09-12,Bottega Veneta,575,14,16,2.77,,,19,1400
2026-09-12,Celine,529,14,16,3.01,,,31,1545
2026-09-13,Hermès,1297,18,30,2.29,,,28,11495
2026-09-13,Chanel,4100,30,92,2.21,,,44,3780
2026-09-13,The Row,145,2,2,1.38,,,10,1073
2026-09-13,Louis Vuitton,5743,35,134,2.29,,,30,1275
2026-09-13,Goyard,304,4,4,1.32,,,73,2200
2026-09-13,Dior,795,7,18,2.23,,,42,2315
2026-09-13,Cartier,402,0,10,2.43,,,8,2745
2026-09-13,Prada,561,8,11,1.95,,,25,1195
2026-09-13,Bottega Veneta,565,8,18,3.13,,,31,1400
2026-09-13,Celine,521,4,12,2.27,,,50,1120
2026-09-14,Hermès,1292,28,33,2.54,,,31,9495
2026-09-14,Chanel,4073,96,123,3,,,39,4495
2026-09-14,The Row,147,5,3,2.07,,,18,1550
2026-09-14,Louis Vuitton,5675,116,184,3.2,,,26,1603
2026-09-14,Goyard,294,6,16,5.26,,,7,2450
2026-09-14,Dior,792,26,29,3.65,,,21,2595
2026-09-14,Cartier,413,22,11,2.74,,,17,1650
2026-09-14,Prada,556,17,22,3.92,,,12,1038
2026-09-14,Bottega Veneta,568,20,17,3.01,,,25,1695
2026-09-14,Celine,515,11,17,3.26,,,18,1325
2026-09-15,Hermès,1310,61,43,3.33,,,45,4460
2026-09-15,Chanel,4121,131,83,2.04,,,49,3695
2026-09-15,The Row,151,10,6,4.08,,,5,2918
2026-09-15,Louis Vuitton,5753,217,139,2.45,,,33,1475
2026-09-15,Goyard,299,13,8,2.72,,,25,2295
2026-09-15,Dior,800,28,20,2.53,,,49,2478
2026-09-15,Cartier,418,27,22,5.33,,,18,3518
2026-09-15,Prada,574,32,14,2.52,,,35,1180
2026-09-15,Bottega Veneta,585,27,10,1.76,,,47,2430
2026-09-15,Celine,508,14,21,4.08,,,45,1025
2026-09-16,Hermès,1318,56,48,3.66,,,40,9280
2026-09-16,Chanel,4132,149,138,3.35,,,48,3895
2026-09-16,The Row,147,3,7,4.64,,,6,3995
2026-09-16,Louis Vuitton,5840,253,166,2.89,,,34,1610
2026-09-16,Goyard,286,8,21,7.02,,,49,2595
2026-09-16,Dior,798,26,28,3.5,,,26,1795
2026-09-16,Cartier,426,24,16,3.83,,,19,2395
2026-09-16,Prada,565,17,26,4.53,,,44,1015
2026-09-16,Bottega Veneta,570,16,31,5.3,,,25,1610
2026-09-16,Celine,504,20,24,4.72,,,34,1298
2026-09-17,Hermès,1299,39,58,4.4,,,120,3995
2026-09-17,Chanel,4043,118,207,5.01,,,103,3250
2026-09-17,The Row,146,8,9,6.12,,,49,2655
2026-09-17,Louis Vuitton,5818,214,236,4.04,,,61,1495
2026-09-17,Goyard,283,8,11,3.85,,,40,2395
2026-09-17,Dior,782,22,38,4.76,,,106,1930
2026-09-17,Cartier,425,12,13,3.05,,,20,2295
2026-09-17,Prada,551,20,34,6.02,,,124,933
2026-09-17,Bottega Veneta,576,26,20,3.51,,,56,1773
2026-09-17,Celine,492,20,32,6.35,,,117,1205
2026-09-18,Hermès,1328,64,35,2.69,,,57,9305
2026-09-18,Chanel,4042,130,131,3.24,,,62,3495
2026-09-18,The Row,151,17,12,8.22,,,52,2773
2026-09-18,Louis Vuitton,5847,209,180,3.09,,,57,1753
2026-09-18,Goyard,289,20,14,4.95,,,51,2590
2026-09-18,Dior,789,36,29,3.71,,,57,2275
2026-09-18,Cartier,426,16,15,3.53,,,28,4595
2026-09-18,Prada,554,26,23,4.17,,,43,1325
2026-09-18,Bottega Veneta,589,30,17,2.95,,,42,2495
2026-09-18,Celine,488,11,15,3.05,,,59,1695
2026-09-19,Hermès,1315,38,51,3.84,,,51,11995
2026-09-19,Chanel,4043,107,106,2.62,,,45,3785
2026-09-19,The Row,147,2,6,3.97,,,60,1820
2026-09-19,Louis Vuitton,5846,157,158,2.7,,,29,1690
2026-09-19,Goyard,287,7,9,3.11,,,38,2295
2026-09-19,Dior,798,22,13,1.65,,,52,1995
2026-09-19,Cartier,418,5,13,3.05,,,26,4250
2026-09-19,Prada,548,17,23,4.15,,,16,1095
2026-09-19,Bottega Veneta,585,16,20,3.4,,,12,1965
2026-09-19,Celine,495,14,7,1.43,,,79,1950
2026-09-20,Hermès,1322,29,22,1.67,,,34,10930
2026-09-20,Chanel,4003,45,85,2.1,,,53,4295
2026-09-20,The Row,142,0,5,3.4,,,39,5485
2026-09-20,Louis Vuitton,5723,34,157,2.69,,,33,1395
2026-09-20,Goyard,283,0,4,1.39,,,63,2473
2026-09-20,Dior,792,3,9,1.13,,,22,2595
2026-09-20,Cartier,399,1,20,4.78,,,42,1740
2026-09-20,Prada,542,4,10,1.82,,,54,1045
2026-09-20,Bottega Veneta,569,0,16,2.74,,,34,1495
2026-09-20,Celine,481,4,18,3.64,,,28,1373
2026-09-21,Hermès,1294,23,51,3.86,,,53,9495
2026-09-21,Chanel,3926,47,124,3.1,,,47,4198
2026-09-21,The Row,148,7,1,0.7,,,170,5265
2026-09-21,Louis Vuitton,5598,64,189,3.3,,,30,1695
2026-09-21,Goyard,269,1,15,5.3,,,54,2595
2026-09-21,Dior,772,7,27,3.41,,,61,2695
2026-09-21,Cartier,393,6,12,3.01,,,68,2493
2026-09-21,Prada,537,6,11,2.03,,,27,1250
2026-09-21,Bottega Veneta,559,6,16,2.81,,,53,1908
2026-09-21,Celine,472,4,13,2.7,,,73,1095
2026-09-22,Hermès,1306,62,50,3.86,,,35,10423
2026-09-22,Chanel,3937,145,134,3.41,,,58,4283
2026-09-22,The Row,151,11,8,5.41,,,20,1895
2026-09-22,Louis Vuitton,5584,175,189,3.38,,,31,1695
2026-09-22,Goyard,280,19,8,2.97,,,67,2595
2026-09-22,Dior,779,27,20,2.59,,,41,2495
2026-09-22,Cartier,384,8,17,4.33,,,32,3870
2026-09-22,Prada,542,26,21,3.91,,,26,1195
2026-09-22,Bottega Veneta,585,50,24,4.29,,,28,2045
2026-09-22,Celine,487,25,10,2.12,,,27,1973
2026-09-23,Hermès,1311,48,43,3.29,3.29,,71,12995
2026-09-23,Chanel,4002,153,88,2.24,2.24,,52,3645
2026-09-23,The Row,150,6,7,4.64,4.64,,11,3150
2026-09-23,Louis Vuitton,5680,224,128,2.29,2.29,,45,1595
2026-09-23,Goyard,279,5,6,2.14,2.14,,31,2450
2026-09-23,Dior,780,20,19,2.44,2.44,,36,2195
2026-09-23,Cartier,374,10,20,5.21,5.21,,52,4073
2026-09-23,Prada,550,19,11,2.03,2.03,,19,950
2026-09-23,Bottega Veneta,585,16,16,2.74,2.74,,42,1773
2026-09-23,Celine,505,25,7,1.44,1.44,,62,1325
2026-09-24,Hermès,1293,36,54,4.12,4.09,24.17,56,15563
2026-09-24,Chanel,3979,110,133,3.32,3.3,24.17,82,3795
2026-09-24,The Row,147,5,8,5.33,5.29,24.17,17,3135
2026-09-24,Louis Vuitton,5697,269,252,4.44,4.41,24.17,70,1413
2026-09-24,Goyard,282,13,10,3.58,3.55,24.17,45,2873
2026-09-24,Dior,772,34,42,5.38,5.34,24.17,69,2310
2026-09-24,Cartier,364,8,18,4.81,4.78,24.17,43,1850
2026-09-24,Prada,535,20,35,6.36,6.32,24.17,103,1150
2026-09-24,Bottega Veneta,590,32,27,4.62,4.59,24.17,43,1480
2026-09-24,Celine,505,23,23,4.55,4.52,24.17,93,1550
2026-09-25,Hermès,1304,64,53,4.1,4.09,24.07,76,7995
2026-09-25,Chanel,3901,114,192,4.83,4.82,24.07,102,4140
2026-09-25,The Row,143,4,8,5.44,5.42,24.07,57,4198
2026-09-25,Louis Vuitton,5614,189,272,4.77,4.76,24.07,54,1573
2026-09-25,Goyard,284,17,15,5.32,5.3,24.07,56,2555
2026-09-25,Dior,754,27,45,5.83,5.81,24.07,66,1895
2026-09-25,Cartier,349,1,16,4.4,4.39,24.07,92,2438
2026-09-25,Prada,523,14,26,4.86,4.85,24.07,55,1165
2026-09-25,Bottega Veneta,560,17,47,7.97,7.95,24.07,66,1695
2026-09-25,Celine,501,17,21,4.16,4.15,24.07,83,1650
2026-09-26,Hermès,1308,18,14,1.07,1.96,13.11,55,8545
2026-09-26,Chanel,3890,34,45,1.15,2.11,13.11,98,4570
2026-09-26,The Row,141,0,2,1.4,2.56,13.11,80,5125
2026-09-26,Louis Vuitton,5590,19,43,0.77,1.41,13.11,49,1695
2026-09-26,Goyard,282,0,2,0.7,1.28,13.11,45,2300
2026-09-26,Dior,750,2,6,0.8,1.46,13.11,48,3645
2026-09-26,Cartier,345,4,8,2.29,4.19,13.11,46,1895
2026-09-26,Prada,520,0,3,0.57,1.04,13.11,7,950
2026-09-26,Bottega Veneta,554,1,7,1.25,2.29,13.11,103,1595
2026-09-26,Celine,493,0,8,1.6,2.93,13.11,127,1695
