date,brand,segment,listings_all,listings_segment,p10_price,median_price,p90_price,mean_price,legacy_low_price
2026-08-14,The Row,All categories,149,,,,,,755
2026-08-14,Cartier,All categories,493,,,,,,445
2026-08-15,Hermès,All categories,2718,,,,,,95
2026-08-15,Chanel,All categories,7417,,,,,,95
2026-08-15,Louis Vuitton,All categories,8397,,,,,,125
2026-08-15,Goyard,All categories,355,,,,,,235
2026-08-15,Dior,All categories,1236,,,,,,95
2026-08-15,Fendi,All categories,714,,,,,,95
2026-08-15,The Row,All categories,141,,,,,,755
2026-08-15,Cartier,All categories,480,,,,,,445
2026-08-16,Hermès,All categories,2654,,,,,,95
2026-08-16,Chanel,All categories,7290,,,,,,95
2026-08-16,Louis Vuitton,All categories,8176,,,,,,125
2026-08-16,Goyard,All categories,333,,,,,,235
2026-08-16,Dior,All categories,1205,,,,,,95
2026-08-16,Fendi,All categories,699,,,,,,95
2026-08-16,The Row,All categories,137,,,,,,755
2026-08-16,Cartier,All categories,454,,,,,,445
2026-08-17,Hermès,All categories,2549,,,,,,125
2026-08-17,Chanel,All categories,7085,,,,,,95
2026-08-17,Louis Vuitton,All categories,7818,,,,,,120
2026-08-17,Goyard,All categories,320,,,,,,235
2026-08-17,Dior,All categories,1175,,,,,,95
2026-08-17,Fendi,All categories,692,,,,,,95
2026-08-17,The Row,All categories,132,,,,,,755
2026-08-17,Cartier,All categories,439,,,,,,445
2026-08-18,Hermès,All categories,2543,,,,,,125
2026-08-18,Chanel,All categories,7075,,,,,,95
2026-08-18,Louis Vuitton,All categories,7819,,,,,,115
2026-08-18,Goyard,All categories,327,,,,,,235
2026-08-18,Dior,All categories,1181,,,,,,95
2026-08-18,Fendi,All categories,694,,,,,,95
2026-08-18,The Row,All categories,134,,,,,,755
2026-08-18,Cartier,All categories,414,,,,,,445
2026-08-19,Hermès,All categories,2578,,,,,,125
2026-08-19,Chanel,All categories,7081,,,,,,95
2026-08-19,Louis Vuitton,All categories,7852,,,,,,115
2026-08-19,Goyard,All categories,318,,,,,,235
2026-08-19,Dior,All categories,1191,,,,,,95
2026-08-19,Fendi,All categories,697,,,,,,95
2026-08-19,The Row,All categories,138,,,,,,755
2026-08-19,Cartier,All categories,408,,,,,,445
2026-08-20,Hermès,All categories,2678,,,,,,120
2026-08-20,Chanel,All categories,7193,,,,,,95
2026-08-20,Louis Vuitton,All categories,8033,,,,,,110
2026-08-20,Goyard,All categories,324,,,,,,235
2026-08-20,Dior,All categories,1193,,,,,,95
2026-08-20,Fendi,All categories,717,,,,,,95
2026-08-20,The Row,All categories,138,,,,,,755
2026-08-20,Cartier,All categories,443,,,,,,445
2026-08-21,Hermès,All categories,2742,,,,,,120
2026-08-21,Chanel,All categories,7185,,,,,,95
2026-08-21,Louis Vuitton,All categories,8033,,,,,,105
2026-08-21,Goyard,All categories,332,,,,,,295
2026-08-21,Dior,All categories,1214,,,,,,95
2026-08-21,Fendi,All categories,723,,,,,,95
2026-08-21,The Row,All categories,139,,,,,,755
2026-08-21,Cartier,All categories,484,,,,,,445
2026-08-22,Hermès,All categories,2732,,,,,,110
2026-08-22,Chanel,All categories,7156,,,,,,95
2026-08-22,Louis Vuitton,All categories,8006,,,,,,105
2026-08-22,Goyard,All categories,334,,,,,,295
2026-08-22,Dior,All categories,1214,,,,,,180
2026-08-22,Fendi,All categories,717,,,,,,95
2026-08-22,The Row,All categories,145,,,,,,755
2026-08-22,Cartier,All categories,468,,,,,,445
2026-08-23,Hermès,All categories,2694,,,,,,105
2026-08-23,Chanel,All categories,7053,,,,,,95
2026-08-23,Louis Vuitton,All categories,7871,,,,,,100
2026-08-23,Goyard,All categories,330,,,,,,295
2026-08-23,Dior,All categories,1193,,,,,,180
2026-08-23,Fendi,All categories,710,,,,,,95
2026-08-23,The Row,All categories,143,,,,,,755
2026-08-23,Cartier,All categories,443,,,,,,445
2026-08-24,Hermès,All categories,2687,,,,,,100
2026-08-24,Chanel,All categories,7073,,,,,,95
2026-08-24,Louis Vuitton,All categories,7869,,,,,,100
2026-08-24,Goyard,All categories,332,,,,,,295
2026-08-24,Dior,All categories,1195,,,,,,170
2026-08-24,Fendi,All categories,701,,,,,,50
2026-08-24,The Row,All categories,139,,,,,,755
2026-08-24,Cartier,All categories,452,,,,,,435
2026-08-25,Hermès,All categories,2737,,,,,,95
2026-08-25,Chanel,All categories,7162,,,,,,95
2026-08-25,Louis Vuitton,All categories,8050,,,,,,95
2026-08-25,Goyard,All categories,343,,,,,,295
2026-08-25,Dior,All categories,1225,,,,,,165
2026-08-25,Fendi,All categories,733,,,,,,50
2026-08-25,The Row,All categories,148,,,,,,755
2026-08-25,Cartier,All categories,440,,,,,,430
2026-08-26,Hermès,All categories,2699,,,,,,85
2026-08-26,Chanel,All categories,7151,,,,,,95
2026-08-26,Louis Vuitton,All categories,8042,,,,,,90
2026-08-26,Goyard,All categories,337,,,,,,295
2026-08-26,Dior,All categories,1224,,,,,,160
2026-08-26,Fendi,All categories,732,,,,,,50
2026-08-26,The Row,All categories,147,,,,,,755
2026-08-26,Cartier,All categories,444,,,,,,420
2026-08-27,Hermès,Handbags,2795,1315,2465,6295,24295,10461,
2026-08-27,Chanel,Handbags,7378,4566,2065,3925,7880,4523,
2026-08-27,Louis Vuitton,Handbags,8230,5748,760,1495,2895,1751,
2026-08-27,Goyard,Handbags,364,307,1800,2650,4035,2769,
2026-08-27,Dior,Handbags,1263,853,1095,2235,3795,2422,
2026-08-27,Fendi,Handbags,774,565,660,1355,2655,1568,
2026-08-27,The Row,Handbags,160,157,1015,2515,5980,3112,
2026-08-27,Cartier,Fine jewelry,467,380,1050,2250,7240,3502,
