date,brand,lowest_ask,results,results_capped,listed
2026-08-19,Chanel,37,1000,,40
2026-08-19,Louis Vuitton,175,1000,,39
2026-08-19,Dior,265,1000,,37
2026-08-19,Rolex,4485,14,,3
2026-08-19,Cartier,324,1000,,14
2026-08-19,Fendi,196,1000,,39
2026-08-20,Goyard,569,1000,,40
2026-08-20,Hermès,500,1000,,40
2026-08-20,Chanel,37,1000,,40
2026-08-20,Louis Vuitton,368,1000,,39
2026-08-20,Dior,199,1000,,40
2026-08-20,Rolex,4514,14,,3
2026-08-20,Cartier,324,1000,,15
2026-08-20,Fendi,196,1000,,39
2026-08-21,Goyard,539,1000,,40
2026-08-21,Hermès,500,1000,,40
2026-08-21,Chanel,37,1000,,40
2026-08-21,Louis Vuitton,368,1000,,39
2026-08-21,Dior,199,1000,,37
2026-08-21,Rolex,4508,87,,3
2026-08-21,Cartier,324,1000,,15
2026-08-21,Fendi,196,1000,,39
2026-08-22,Goyard,537,1000,,40
2026-08-22,Hermès,500,1000,,40
2026-08-22,Chanel,37,1000,,40
2026-08-22,Louis Vuitton,368,1000,,39
2026-08-22,Dior,286,1000,,37
2026-08-22,Rolex,4503,87,,3
2026-08-22,Cartier,324,1000,,15
2026-08-22,Fendi,196,1000,,39
2026-08-23,Goyard,521,1000,,40
2026-08-23,Hermès,500,1000,,40
2026-08-23,Chanel,37,1000,,40
2026-08-23,Louis Vuitton,175,1000,,39
2026-08-23,Dior,330,1000,,40
2026-08-23,Rolex,4504,87,,3
2026-08-23,Cartier,324,1000,,15
2026-08-23,Fendi,196,1000,,39
2026-08-24,Goyard,534,1000,,40
2026-08-24,Hermès,500,1000,,40
2026-08-24,Chanel,37,1000,,40
2026-08-24,Louis Vuitton,360,1000,,39
2026-08-24,Dior,330,1000,,40
2026-08-24,Rolex,4506,14,,3
2026-08-24,Cartier,324,1000,,15
2026-08-24,Fendi,196,1000,,39
2026-08-25,Goyard,529,1000,,40
2026-08-25,Hermès,,,,0
2026-08-25,Chanel,35,1000,,40
2026-08-25,Louis Vuitton,277,1000,,39
2026-08-25,Dior,199,1000,,40
2026-08-25,Rolex,4494,86,,3
2026-08-25,Cartier,,,,0
2026-08-25,Fendi,196,1000,,39
2026-08-26,Goyard,525,1000,,40
2026-08-26,Hermès,500,1000,,40
2026-08-26,Chanel,35,1000,,40
2026-08-26,Louis Vuitton,148,1000,,39
2026-08-26,Dior,330,1000,,40
2026-08-26,Rolex,4503,14,,3
2026-08-26,Cartier,324,1000,,15
2026-08-26,Fendi,196,1000,,39
2026-08-27,Goyard,499,,yes,40
2026-08-27,Hermès,500,,yes,40
2026-08-27,Chanel,34,,yes,40
2026-08-27,Louis Vuitton,435,,yes,39
2026-08-27,Dior,329,,yes,40
2026-08-27,Rolex,,87,,0
2026-08-27,Cartier,324,,yes,15
2026-08-27,Fendi,196,,yes,39
